Wallet Address,Total Amount,Start Time,Num Monthly Distributions
regen10rk2v8pxjnldtxuy9ds0s5na9qjcmh5ymplz87,865000,MAINNET,1
regen10rk2v8pxjnldtxuy9ds0s5na9qjcmh5ymplz87,34.3,MAINNET,1
regen10rk2v8pxjnldtxuy9ds0s5na9qjcmh5ymplz87,45.2,MAINNET,1
regen1g49npg8zk7nvfxm3v9jrzvvmwd3dmw45kh5y5l,11599.8,MAINNET,1
,2352.4,MAINNET,1
regen10rk2v8pxjnldtxuy9ds0s5na9qjcmh5ymplz87,446451,MAINNET,1
regen10rk2v8pxjnldtxuy9ds0s5na9qjcmh5ymplz87,10884,MAINNET,1
regen1lusdjktpk3f2v33cda5uwnya5qcyv04cwvnkwz,1423011.9,MAINNET,1
,497.2,MAINNET,1
,660086.1,MAINNET,1
,641.4,MAINNET,1
,837863.5,MAINNET,1
regen1lusdjktpk3f2v33cda5uwnya5qcyv04cwvnkwz,335.4,MAINNET,1
regen1zdn0xmrfm27vq92jdf9lscujgx6lhru8g50f6s,114100,MAINNET,1
regen14v5g0954l8q7kwtgt240rh229l3v6zuunt56zy,567500,MAINNET,1
,5647,MAINNET,1
regen1kdgm58gyd0ths4fpr2sm7annrvj03v2a6ujrz7,56180,MAINNET,1
,288000,MAINNET,1
regen1e5hrgj6ud2v5mptvksjt3c42vy5snyd5m73wvm,585000,2020-05-10,24
regen1tzxjn4f95gghuzvw904jgh78n44qattc55e54l,1007332.778,MAINNET,1
regen1lusdjktpk3f2v33cda5uwnya5qcyv04cwvnkwz,238095.1905,2020-06-19,24
regen1v5hrqlv8dqgzvy0pwzqzg0gxy899rm4k547w43,715543,2020-06-27,24
regen14nhr6f0ng22ckgye2wrp7f2ntcqw93zqnn3ra9,238095.2381,2020-07-11,24
regen15w48fcnndw0ygz6due737udnkc9cfeff70zxzz,28852.47619,2020-07-11,24
regen10xv3mmp66rf95w0js8mc7ckm6dlwgcsm69jkel,299197.1429,2020-07-23,24
,23809.52381,2020-07-23,24
regen16na5gpcj80tafv5gycm4gk7garj8jjsgm0q2dk,167711.1429,2020-07-29,24
regen1umgh3p7f7wgx8gd6nn3knntyhecqv4gvesdscs,238095.2381,2020-07-24,24
regen14v5g0954l8q7kwtgt240rh229l3v6zuunt56zy,119047.619,2020-07-25,24
